Field,Type,English
ProductName,Text,FILECP
Description,Text,"Instant, Private, and Seamless File Sharing. A lightweight Windows desktop application for secure session-based file sharing across devices. Upload files on one device, scan a QR code, and download them on another — no accounts, no tracking, just transfer.\n\nFeatures:\n- QR Code Pairing: Scan to instantly share files between devices\n- Encrypted Transfer: Files are encrypted at rest on the server\n- Auto-Expiry: Sessions self-destruct after your chosen duration\n- Send & Receive: Upload files or generate a QR code to receive files\n- Multi-Format: Images, documents, videos, archives, anything\n- No Login Required: Zero accounts, start sharing immediately"
WhatsNew,Text,Initial release of filecp.
ProductFeatures1,Text,QR Code Pairing for instant wireless sharing
ProductFeatures2,Text,End-to-End Encrypted Transfers
ProductFeatures3,Text,Auto-Expiring Sessions
ProductFeatures4,Text,Cross-device Send & Receive
ProductFeatures5,Text,No account required to send or receive
ProductFeatures6,Text,
ProductFeatures7,Text,
ProductFeatures8,Text,
ProductFeatures9,Text,
ProductFeatures10,Text,
ProductFeatures11,Text,
ProductFeatures12,Text,
ProductFeatures13,Text,
ProductFeatures14,Text,
ProductFeatures15,Text,
ProductFeatures16,Text,
ProductFeatures17,Text,
ProductFeatures18,Text,
ProductFeatures19,Text,
ProductFeatures20,Text,
ShortDescription,Text,"Instant, Private, and Seamless File Sharing via QR Code."
SearchTerms1,Text,file transfer
SearchTerms2,Text,qr share
SearchTerms3,Text,send files
SearchTerms4,Text,private sharing
SearchTerms5,Text,filecp
SearchTerms6,Text,share anywhere
SearchTerms7,Text,
Applicable license terms,Text,MIT License
Copyright,Text,Copyright 2026 Simar Singh Rayat
DevelopedBy,Text,Simar Singh Rayat
RequirementsMinimum1,Text,
RequirementsMinimum2,Text,
RequirementsMinimum3,Text,
RequirementsMinimum4,Text,
RequirementsMinimum5,Text,
RequirementsMinimum6,Text,
RequirementsMinimum7,Text,
RequirementsMinimum8,Text,
RequirementsMinimum9,Text,
RequirementsMinimum10,Text,
RequirementsMinimum11,Text,
RequirementsRecommended1,Text,
RequirementsRecommended2,Text,
RequirementsRecommended3,Text,
RequirementsRecommended4,Text,
RequirementsRecommended5,Text,
RequirementsRecommended6,Text,
RequirementsRecommended7,Text,
RequirementsRecommended8,Text,
RequirementsRecommended9,Text,
RequirementsRecommended10,Text,
RequirementsRecommended11,Text,
StoreLogos1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
StoreLogos2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots3,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots4,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots5,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots6,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots7,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots8,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots9,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots10,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
HeroArts,Text,
Trailers,Text,
